max_temp,min_temp,avg_temp,max_wind,total_precip,total_snow,avg_visibility,avg_humidity,condition,uv_index
26.0,21.8,23.5,24.8,10.5,0.0,10.0,84,0,6.0
27.5,21.3,23.9,28.1,1.8,0.0,10.0,78,6,6.0
25.1,21.7,22.9,18.0,2.0,0.0,8.6,89,6,6.0
23.2,21.5,22.3,15.8,7.4,0.0,9.3,89,3,5.0
24.5,22.0,22.9,28.4,21.7,0.0,9.3,87,0,5.0
22.5,21.4,21.9,28.4,35.6,0.0,9.0,91,0,5.0
22.5,21.2,21.9,26.6,7.4,0.0,8.6,92,3,5.0
24.0,21.6,22.2,25.2,6.8,0.0,6.8,92,0,5.0
24.4,21.6,22.5,27.0,19.1,0.0,8.5,91,0,5.0
24.3,21.9,22.8,31.7,45.9,0.0,10.0,93,0,5.0
23.3,21.8,22.4,27.4,22.25,0.0,9.6,93,0,5.0
22.6,21.4,21.8,19.4,32.6,0.0,7.8,95,0,5.0
22.5,21.5,21.9,23.4,38.03,0.0,7.7,95,0,5.0
22.7,21.3,22.0,27.0,33.43,0.0,7.5,94,0,5.0
22.9,20.8,21.7,25.9,16.3,0.0,7.9,90,0,5.0
26.3,20.8,23.4,31.3,3.5,0.0,10.0,82,6,6.0
25.8,21.5,23.3,26.6,2.1,0.0,10.0,87,6,6.0
24.9,21.9,22.8,23.8,4.7,0.0,10.0,90,0,5.0
24.5,22.0,23.0,25.2,3.5,0.0,10.0,89,6,5.0
23.5,21.9,22.7,24.8,2.8,0.0,10.0,89,6,5.0
24.4,22.0,23.0,29.2,5.0,0.0,10.0,87,6,5.0
24.5,21.6,22.8,26.3,3.1,0.0,10.0,87,6,5.0
26.8,21.7,23.7,29.2,2.3,0.0,10.0,83,6,6.0
26.8,21.3,23.6,30.6,2.3,0.0,10.0,83,3,6.0
